,Date_GMT,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature
,depth,0.5m,1m,2m,3m,4m,5m,6m,7m,8m,9m,10m,12m
1,01/01/2011 00:00,2.2294,3.2046,3.5745,3.5541,3.6186,3.5797,3.6936,3.6632,3.6414,3.6032,3.6898,3.8965
2,01/01/2011 01:00,2.2457,3.2539,3.578,3.5526,3.5727,3.6199,3.7032,3.6625,3.6462,3.6294,3.6963,3.9203
3,01/01/2011 02:00,2.2668,3.3081,3.5565,3.551,3.5728,3.62,3.7172,3.6553,3.6475,3.6234,3.6901,3.918
4,01/01/2011 03:00,2.272,3.34,3.5645,3.5299,3.555,3.6193,3.7302,3.6528,3.6441,3.6255,3.688,3.9003
5,01/01/2011 04:00,2.2932,3.3453,3.5699,3.5273,3.5696,3.636,3.7211,3.657,3.6494,3.6385,3.693,3.8909
6,01/01/2011 05:00,2.3114,3.3269,3.5781,3.5068,3.5803,3.6225,3.6931,3.6732,3.6534,3.6416,3.6981,3.8998
7,01/01/2011 06:00,2.3265,3.2929,3.5819,3.511,3.5706,3.5938,3.68,3.6742,3.6542,3.637,3.698,3.9007
8,01/01/2011 07:00,2.3305,3.2611,3.5945,3.5009,3.5652,3.6109,3.6843,3.6688,3.6477,3.6346,3.6941,3.9256
9,01/01/2011 08:00,2.3415,3.2293,3.6022,3.542,3.5885,3.6319,3.6762,3.6634,3.6456,3.6328,3.6935,3.9336
10,01/01/2011 09:00,2.375,3.1937,3.601,3.5778,3.614,3.6485,3.6884,3.6622,3.6463,3.6356,3.6987,3.9378
11,01/01/2011 10:00,2.4254,3.1689,3.5935,3.579,3.645,3.6482,3.6902,3.6602,3.6482,3.6402,3.6983,3.9145
12,01/01/2011 11:00,2.4495,3.1707,3.5941,3.5656,3.6522,3.6408,3.6874,3.6481,3.6501,3.6439,3.7013,3.9077
13,01/01/2011 12:00,2.4782,3.1949,3.6021,3.5621,3.6457,3.6306,3.6972,3.6426,3.6482,3.6421,3.7053,3.9083
14,01/01/2011 13:00,2.501,3.1998,3.5829,3.5546,3.6372,3.6082,3.6996,3.6338,3.6488,3.6449,3.6953,3.9107
15,01/01/2011 14:00,2.5254,3.2126,3.5894,3.5705,3.6576,3.6105,3.7019,3.6324,3.6515,3.6461,3.6835,3.9124
16,01/01/2011 15:00,2.5539,3.2135,3.5875,3.5802,3.666,3.6033,3.7019,3.6344,3.6519,3.643,3.6681,3.9141
17,01/01/2011 16:00,2.6008,3.2001,3.6232,3.6175,3.6618,3.6122,3.6996,3.6173,3.6516,3.6433,3.6915,3.914
18,01/01/2011 17:00,2.6058,3.2069,3.6311,3.6101,3.6697,3.623,3.7017,3.6106,3.6537,3.6459,3.6823,3.9159
19,01/01/2011 18:00,2.5874,3.2969,3.635,3.5808,3.6621,3.6314,3.7144,3.6042,3.6522,3.6468,3.6585,3.9358
20,01/01/2011 19:00,2.5955,3.3473,3.6378,3.5893,3.6606,3.6381,3.6748,3.6117,3.6557,3.6466,3.6967,3.9312
21,01/01/2011 20:00,2.5818,3.354,3.6468,3.6027,3.6553,3.6309,3.656,3.6319,3.6527,3.6438,3.6551,3.9328
22,01/01/2011 21:00,2.5722,3.327,3.6471,3.5837,3.6652,3.6396,3.6542,3.6372,3.6527,3.6451,3.6576,3.9613
23,01/01/2011 22:00,2.5529,3.3247,3.6459,3.6079,3.659,3.6396,3.6785,3.6659,3.6557,3.649,3.667,3.9853
24,01/01/2011 23:00,2.528,3.3554,3.6477,3.6213,3.6676,3.6379,3.6932,3.6704,3.6536,3.6527,3.6625,3.9502
25,02/01/2011 00:00,2.514,3.3494,3.6492,3.6283,3.6706,3.6365,3.6979,3.6675,3.6493,3.6558,3.6184,3.9522
26,02/01/2011 01:00,2.488,3.3207,3.651,3.6182,3.6756,3.6309,3.7103,3.6655,3.6307,3.6534,3.6505,3.9691
27,02/01/2011 02:00,2.4786,3.2692,3.6465,3.6107,3.6614,3.6323,3.7103,3.6649,3.6327,3.6532,3.6845,3.985
28,02/01/2011 03:00,2.4719,3.2626,3.6501,3.6246,3.6742,3.6289,3.7107,3.6738,3.6333,3.6578,3.6819,3.9746
29,02/01/2011 04:00,2.466,3.2666,3.6594,3.6226,3.6665,3.6261,3.707,3.6802,3.629,3.6556,3.6675,3.9581
30,02/01/2011 05:00,2.4648,3.2791,3.6553,3.6219,3.6857,3.6258,3.7027,3.6779,3.6239,3.6503,3.6368,3.974
31,02/01/2011 06:00,2.4467,3.3038,3.6554,3.6202,3.6866,3.6197,3.7013,3.6755,3.6234,3.6401,3.628,4.0063
32,02/01/2011 07:00,2.4514,3.3228,3.651,3.6136,3.6937,3.6249,3.7084,3.677,3.6115,3.6436,3.6395,4.0142
33,02/01/2011 08:00,2.4722,3.301,3.6509,3.6162,3.6854,3.6299,3.7049,3.675,3.6128,3.6495,3.6469,4.013
34,02/01/2011 09:00,2.4864,3.2843,3.6539,3.6498,3.684,3.6413,3.7006,3.6783,3.6181,3.6477,3.65,3.9997
35,02/01/2011 10:00,2.5131,3.2993,3.674,3.6513,3.6863,3.6566,3.7049,3.681,3.621,3.6466,3.6305,3.9958
36,02/01/2011 11:00,2.5279,3.3195,3.6586,3.6489,3.6892,3.6613,3.7132,3.6785,3.6256,3.6459,3.6148,3.9835
37,02/01/2011 12:00,2.5441,3.3611,3.6343,3.657,3.6579,3.6594,3.7097,3.6806,3.6315,3.6452,3.6186,3.9764
38,02/01/2011 13:00,2.5649,3.3941,3.6401,3.6448,3.6593,3.66,3.7052,3.6784,3.6445,3.64,3.6483,3.9986
39,02/01/2011 14:00,2.5687,3.3987,3.6567,3.6472,3.6444,3.6455,3.7102,3.678,3.6461,3.6347,3.6637,4.0127
40,02/01/2011 15:00,2.5835,3.4306,3.6401,3.6538,3.6402,3.6389,3.7036,3.6707,3.6481,3.6412,3.6571,4.0163
41,02/01/2011 16:00,2.5947,3.4402,3.6404,3.6519,3.6293,3.6562,3.7022,3.6734,3.6491,3.6479,3.6307,4.0137
42,02/01/2011 17:00,2.6119,3.4375,3.644,3.6553,3.652,3.6556,3.6971,3.6759,3.6473,3.6476,3.6309,3.9879
43,02/01/2011 18:00,2.6276,3.4367,3.6452,3.6474,3.6774,3.646,3.6982,3.6749,3.6335,3.6509,3.6553,3.987
44,02/01/2011 19:00,2.6319,3.4246,3.6435,3.631,3.6729,3.6268,3.7207,3.6755,3.625,3.653,3.6665,4.004
45,02/01/2011 20:00,2.637,3.411,3.6506,3.611,3.6676,3.6016,3.7384,3.6751,3.6237,3.6554,3.7129,4.0113
46,02/01/2011 21:00,2.6382,3.4099,3.6549,3.6238,3.6309,3.6257,3.7277,3.6706,3.6288,3.6586,3.7235,4.0274
47,02/01/2011 22:00,2.6253,3.3966,3.6394,3.631,3.6206,3.636,3.6699,3.6728,3.6315,3.6625,3.732,4.03
48,02/01/2011 23:00,2.6185,3.3878,3.6343,3.6255,3.6461,3.6055,3.6673,3.6775,3.6385,3.6649,3.7322,4.0441
49,03/01/2011 00:00,2.6138,3.3689,3.6466,3.6203,3.6373,3.581,3.6767,3.6698,3.6505,3.6654,3.7333,4.0404
50,03/01/2011 01:00,2.617,3.3563,3.6378,3.6003,3.6627,3.5848,3.6877,3.6697,3.6547,3.6709,3.743,4.0399
51,03/01/2011 02:00,2.6098,3.3467,3.6394,3.598,3.6852,3.5842,3.6844,3.6617,3.6582,3.6677,3.7418,4.0377
52,03/01/2011 03:00,2.6025,3.3354,3.6324,3.5897,3.6804,3.5979,3.6915,3.6641,3.6685,3.6744,3.7396,4.0279
53,03/01/2011 04:00,2.6068,3.3318,3.6426,3.6162,3.6794,3.619,3.6979,3.6662,3.6789,3.6721,3.7379,4.0307
54,03/01/2011 05:00,2.6051,3.3246,3.6658,3.6557,3.6798,3.6315,3.698,3.6686,3.6865,3.6726,3.732,4.0306
55,03/01/2011 06:00,2.6031,3.3143,3.6712,3.6639,3.6716,3.6347,3.6799,3.6784,3.6829,3.673,3.7308,4.0418
56,03/01/2011 07:00,2.6026,3.3166,3.6334,3.6637,3.6669,3.6374,3.6753,3.6732,3.684,3.6706,3.7227,4.0473
57,03/01/2011 08:00,2.603,3.3197,3.6407,3.6427,3.6628,3.6232,3.6773,3.6706,3.6816,3.6706,3.7227,4.0593
58,03/01/2011 09:00,2.6039,3.3233,3.6518,3.6292,3.6646,3.604,3.6807,3.6669,3.6839,3.6716,3.7258,4.0669
59,03/01/2011 10:00,2.6072,3.353,3.651,3.6297,3.6461,3.6161,3.6798,3.6644,3.6785,3.6712,3.7234,4.0646
60,03/01/2011 11:00,2.6161,3.3785,3.6515,3.6387,3.6413,3.6165,3.6799,3.6665,3.6777,3.6736,3.7223,4.0581
61,03/01/2011 12:00,2.6373,3.399,3.6557,3.6167,3.6406,3.6211,3.6766,3.6621,3.6765,3.6684,3.7284,4.0392
62,03/01/2011 13:00,2.6651,3.4205,3.6569,3.6075,3.6467,3.614,3.6694,3.6639,3.6755,3.6654,3.7248,4.0435
63,03/01/2011 14:00,2.6813,3.4262,3.6543,3.611,3.6449,3.5967,3.6953,3.6599,3.6671,3.658,3.7178,4.0391
64,03/01/2011 15:00,2.7035,3.4146,3.6532,3.6023,3.6197,3.6016,3.7088,3.6596,3.6627,3.6592,3.7161,4.0392
65,03/01/2011 16:00,2.7074,3.4347,3.642,3.6351,3.6168,3.5959,3.7136,3.6565,3.6646,3.6589,3.7216,4.0411
66,03/01/2011 17:00,2.7183,3.4342,3.6432,3.6492,3.6417,3.5887,3.7043,3.6604,3.6725,3.6553,3.7326,4.0525
67,03/01/2011 18:00,2.7179,3.4424,3.6517,3.6507,3.6599,3.5895,3.7045,3.668,3.6741,3.6614,3.7311,4.0619
68,03/01/2011 19:00,2.7241,3.4379,3.6641,3.6584,3.6659,3.5975,3.7019,3.6677,3.6773,3.6667,3.7359,4.0626
69,03/01/2011 20:00,2.7328,3.4313,3.6884,3.6555,3.6774,3.6082,3.6846,3.6744,3.6806,3.6662,3.7374,4.0737
70,03/01/2011 21:00,2.7375,3.4338,3.6947,3.6515,3.6786,3.6168,3.6769,3.6765,3.6793,3.6692,3.7148,4.0873
71,03/01/2011 22:00,2.7369,3.434,3.683,3.6508,3.6702,3.6166,3.6774,3.6753,3.6709,3.6713,3.7265,4.09
72,03/01/2011 23:00,2.7252,3.4292,3.6807,3.6486,3.6694,3.6165,3.6785,3.6758,3.6715,3.665,3.7375,4.076
73,04/01/2011 00:00,2.7245,3.4245,3.6721,3.6539,3.6633,3.6193,3.6756,3.6689,3.6696,3.6616,3.7359,4.0744
74,04/01/2011 01:00,2.7202,3.4149,3.6692,3.6556,3.6651,3.6274,3.6717,3.6706,3.6671,3.662,3.7279,4.08
75,04/01/2011 02:00,2.712,3.4112,3.6748,3.6515,3.6625,3.6225,3.6753,3.6711,3.6666,3.6577,3.7206,4.0742
76,04/01/2011 03:00,2.7159,3.4149,3.6885,3.6493,3.6617,3.6266,3.6771,3.6664,3.6692,3.6589,3.7204,4.0672
77,04/01/2011 04:00,2.7143,3.4258,3.6531,3.6555,3.6592,3.6239,3.678,3.6635,3.6674,3.6551,3.7255,4.0602
78,04/01/2011 05:00,2.718,3.4216,3.6438,3.6365,3.6766,3.6148,3.6778,3.6621,3.6627,3.6512,3.7333,4.0643
79,04/01/2011 06:00,2.7036,3.4158,3.641,3.6049,3.6627,3.6109,3.6776,3.6609,3.6649,3.6461,3.7321,4.0661
80,04/01/2011 07:00,2.6902,3.4119,3.6351,3.5979,3.6433,3.6114,3.68,3.6599,3.6624,3.645,3.7309,4.0694
81,04/01/2011 08:00,2.6643,3.4217,3.6293,3.5886,3.6354,3.614,3.6791,3.6588,3.6684,3.6448,3.7197,4.0689
82,04/01/2011 09:00,2.6254,3.4334,3.6226,3.5868,3.6282,3.6293,3.6751,3.6548,3.6591,3.6437,3.7139,4.0615
83,04/01/2011 10:00,2.6332,3.437,3.6372,3.5955,3.632,3.6193,3.6759,3.6526,3.6637,3.6461,3.731,4.0672
84,04/01/2011 11:00,2.5649,3.3984,3.6513,3.5958,3.6248,3.6083,3.6747,3.6432,3.6673,3.6527,3.7256,4.0701
85,04/01/2011 12:00,2.5904,3.4104,3.6496,3.6098,3.6194,3.6068,3.6722,3.6391,3.6686,3.6502,3.7298,4.028
86,04/01/2011 13:00,2.7386,3.3444,3.6492,3.6296,3.6281,3.6031,3.6637,3.6392,3.6622,3.6626,3.7254,3.987
87,04/01/2011 14:00,2.7833,3.1895,3.6499,3.6323,3.6318,3.6043,3.6705,3.6301,3.661,3.6746,3.713,3.98
88,04/01/2011 15:00,2.7092,3.0502,3.6435,3.6112,3.6384,3.6082,3.6748,3.635,3.6543,3.6438,3.7103,3.9901
89,04/01/2011 16:00,2.6549,3.0303,3.648,3.6333,3.6437,3.6111,3.6763,3.6372,3.6393,3.6077,3.7069,3.9755
90,04/01/2011 17:00,2.5883,3.0482,3.6568,3.6414,3.6484,3.6085,3.6733,3.6381,3.6317,3.5988,3.6987,4.0074
91,04/01/2011 18:00,2.5498,3.087,3.642,3.6419,3.6604,3.6059,3.6747,3.6451,3.6345,3.6131,3.6825,4.0416
92,04/01/2011 19:00,2.605,3.1071,3.6407,3.6428,3.6614,3.6092,3.6754,3.647,3.6326,3.6148,3.6708,4.0467
93,04/01/2011 20:00,2.6516,3.1448,3.6368,3.6438,3.6588,3.608,3.6782,3.6503,3.6359,3.6469,3.6966,4.0231
94,04/01/2011 21:00,2.6488,3.1415,3.6467,3.6446,3.6621,3.6103,3.6785,3.649,3.6376,3.6303,3.7095,4.0319
95,04/01/2011 22:00,2.6365,3.218,3.6446,3.6471,3.6564,3.6099,3.6727,3.6473,3.6253,3.6011,3.6919,4.0119
96,04/01/2011 23:00,2.6212,3.2567,3.6429,3.6429,3.6569,3.6088,3.6724,3.6464,3.6088,3.585,3.6831,4.0208
97,05/01/2011 00:00,2.67,3.2504,3.6277,3.6244,3.6645,3.6104,3.6702,3.631,3.6189,3.5809,3.6782,4.0097
98,05/01/2011 01:00,2.7065,3.2797,3.6152,3.6065,3.6667,3.6082,3.6702,3.6287,3.6243,3.5975,3.6762,3.9863
99,05/01/2011 02:00,2.6352,3.2871,3.6033,3.6036,3.6607,3.6094,3.6684,3.6337,3.6314,3.612,3.6784,4.0023
100,05/01/2011 03:00,2.7066,3.3112,3.5982,3.6094,3.665,3.6107,3.6657,3.643,3.6449,3.6318,3.6889,4.0254
101,05/01/2011 04:00,2.7385,3.3581,3.6039,3.5959,3.6718,3.6155,3.673,3.6458,3.6459,3.6473,3.703,4.0495
102,05/01/2011 05:00,2.6948,3.4168,3.6061,3.5877,3.6719,3.6185,3.6697,3.6424,3.6517,3.6736,3.7277,4.0271
103,05/01/2011 06:00,2.6887,3.2568,3.5995,3.5825,3.6554,3.6216,3.6735,3.6597,3.6602,3.6546,3.7111,4.0424
104,05/01/2011 07:00,2.6474,2.9832,3.5801,3.5834,3.6422,3.6248,3.6786,3.6398,3.6585,3.6545,3.7048,4.0696
105,05/01/2011 08:00,2.6703,3.0024,3.5982,3.5878,3.6295,3.6182,3.6756,3.6367,3.6484,3.6588,3.7006,4.1506
106,05/01/2011 09:00,2.6757,3.0455,3.6044,3.5925,3.6455,3.6227,3.6257,3.6337,3.6424,3.6593,3.7117,4.0773
107,05/01/2011 10:00,2.6649,3.0498,3.6187,3.6062,3.6429,3.6226,3.5838,3.6483,3.6477,3.6729,3.7476,4.0928
108,05/01/2011 11:00,2.7157,3.0225,3.6128,3.6149,3.6456,3.6218,3.5799,3.6622,3.6481,3.6826,3.7513,4.0808
109,05/01/2011 12:00,2.6757,3.0423,3.6041,3.6073,3.6424,3.6237,3.5833,3.6658,3.6456,3.6854,3.6907,4.0747
110,05/01/2011 13:00,2.7002,3.0906,3.6133,3.6019,3.6354,3.6167,3.5714,3.6547,3.6475,3.6862,3.6324,4.1141
111,05/01/2011 14:00,2.778,3.106,3.6095,3.6071,3.6338,3.6145,3.5859,3.6486,3.6481,3.6715,3.6547,4.1485
112,05/01/2011 15:00,2.7694,3.1572,3.6239,3.5996,3.634,3.6135,3.5809,3.6395,3.6472,3.652,3.6404,4.1059
113,05/01/2011 16:00,2.6981,3.1009,3.625,3.6181,3.6267,3.6195,3.5799,3.6288,3.6693,3.6524,3.6545,4.0813
114,05/01/2011 17:00,2.7477,3.0644,3.5832,3.6125,3.6186,3.6226,3.5817,3.6482,3.6732,3.6506,3.6629,4.0463
115,05/01/2011 18:00,2.8232,2.9701,3.6025,3.6227,3.6181,3.6181,3.6154,3.6507,3.675,3.6513,3.6667,4.0836
116,05/01/2011 19:00,2.85,2.9234,3.5994,3.6228,3.6294,3.6125,3.6775,3.6502,3.6715,3.6556,3.6692,4.0927
117,05/01/2011 20:00,2.8452,2.9304,3.6297,3.642,3.6434,3.6139,3.6836,3.6573,3.6626,3.66,3.6603,4.1176
118,05/01/2011 21:00,2.8492,2.989,3.6337,3.625,3.6476,3.6112,3.674,3.6532,3.672,3.6724,3.6593,4.084
119,05/01/2011 22:00,2.8396,3.0183,3.6188,3.6223,3.6469,3.6057,3.6728,3.6473,3.6707,3.6641,3.6426,4.0905
120,05/01/2011 23:00,2.864,3.0512,3.6074,3.6359,3.6388,3.6012,3.6673,3.652,3.6658,3.6706,3.6277,4.0837
121,06/01/2011 00:00,2.8558,3.0563,3.5973,3.6299,3.6293,3.6039,3.6727,3.6526,3.6626,3.6662,3.6388,4.0858
122,06/01/2011 01:00,2.8523,3.024,3.589,3.6317,3.6363,3.6083,3.6727,3.658,3.6664,3.6702,3.6657,4.0923
123,06/01/2011 02:00,2.858,2.9948,3.5914,3.63,3.6599,3.6027,3.6752,3.6599,3.6715,3.6685,3.7014,4.1041
124,06/01/2011 03:00,2.8496,2.9922,3.5848,3.6275,3.6603,3.6032,3.6746,3.6641,3.6707,3.6732,3.7055,4.1455
125,06/01/2011 04:00,2.825,2.9578,3.5762,3.6161,3.66,3.5967,3.6755,3.6676,3.672,3.6775,3.7041,4.1433
126,06/01/2011 05:00,2.8188,2.9427,3.5854,3.5919,3.6588,3.6074,3.6763,3.661,3.6765,3.6802,3.689,4.129
127,06/01/2011 06:00,2.8303,2.9373,3.5885,3.5833,3.6625,3.612,3.6728,3.6565,3.6748,3.6828,3.6426,4.1357
128,06/01/2011 07:00,2.8466,2.9142,3.598,3.5834,3.6638,3.6166,3.6702,3.655,3.6727,3.6787,3.6402,4.1485
129,06/01/2011 08:00,2.8597,2.9137,3.6172,3.588,3.6654,3.6128,3.6666,3.6429,3.6783,3.6748,3.6482,4.125
130,06/01/2011 09:00,2.8613,2.9259,3.6093,3.5887,3.6659,3.6076,3.6697,3.6391,3.6781,3.6715,3.659,4.1444
131,06/01/2011 10:00,2.8575,2.9304,3.611,3.6038,3.6718,3.5871,3.6664,3.5885,3.6763,3.6719,3.6691,4.1446
132,06/01/2011 11:00,2.8443,2.9651,3.6011,3.6023,3.6736,3.5891,3.617,3.5191,3.6772,3.6834,3.6738,4.1778
133,06/01/2011 12:00,2.8451,3.0073,3.6085,3.6039,3.6759,3.5921,3.5834,3.5265,3.6659,3.6818,3.6703,4.191
134,06/01/2011 13:00,2.89,3.0836,3.6073,3.5985,3.6739,3.5841,3.5791,3.52,3.6584,3.678,3.6659,4.1913
135,06/01/2011 14:00,2.912,3.1469,3.6051,3.5932,3.6665,3.5824,3.5987,3.5227,3.6544,3.6721,3.6672,4.1657
136,06/01/2011 15:00,2.9196,3.144,3.594,3.5784,3.6458,3.5774,3.6011,3.5253,3.654,3.671,3.6704,4.1366
137,06/01/2011 16:00,2.9118,3.1407,3.5934,3.5705,3.6372,3.5757,3.5394,3.5626,3.6489,3.6729,3.6712,4.1372
138,06/01/2011 17:00,2.904,3.149,3.5933,3.563,3.6419,3.5757,3.5653,3.5403,3.6455,3.6692,3.6748,4.157
139,06/01/2011 18:00,2.9052,3.1805,3.5921,3.5594,3.6424,3.5616,3.5249,3.5046,3.6527,3.6692,3.6841,4.1441
