"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",0.2685,2.635,0.396,0.9943,0.4376,5.8194,0.6253,0.9889,0.3332,3.3166,0.4758,0.991
"2",0.223,2.1488,0.3284,0.9959,0.3344,3.5346,0.4899,0.9925,0.2637,2.488,0.3702,0.9943
"3",0.1757,1.73,0.2549,0.9972,0.2316,2.3762,0.3321,0.9964,0.2195,2.1039,0.3114,0.9954
"4",0.1568,1.6093,0.2235,0.9973,0.241,2.3932,0.3707,0.9948,0.1826,1.786,0.2665,0.9961
"5",0.1201,1.314,0.1957,0.9977,0.2342,2.3663,0.3661,0.9939,0.1594,1.599,0.2511,0.9958
"6",0.1259,1.399,0.2001,0.997,0.211,2.3831,0.3221,0.9934,0.1572,1.6735,0.2254,0.9955
"7",0.1213,1.3678,0.1909,0.9962,0.1831,2.2677,0.2804,0.9921,0.1369,1.5398,0.2029,0.9951
"8",0.1279,1.5125,0.201,0.9938,0.164,2.2432,0.2359,0.9905,0.174,2.0188,0.2654,0.9888
"9",0.1136,1.4852,0.1644,0.9938,0.1632,2.4884,0.2188,0.9869,0.1743,2.1482,0.2608,0.986
"10",0.0664,0.9836,0.1054,0.9969,0.1311,2.0733,0.1775,0.9895,0.1296,1.6887,0.2235,0.9864
"11",0.0583,0.9084,0.0858,0.9977,0.1171,1.8997,0.1567,0.9914,0.095,1.3503,0.1438,0.9934
"12",0.0453,0.7416,0.074,0.9982,0.1349,2.2693,0.174,0.987,0.0804,1.242,0.1068,0.9954
