Date_GMT,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Air_Temperature,Pyranometer,Wind_Speed
depth,0.5m,1m,2m,3m,4m,5m,6m,7m,8m,9m,10m,12m,,,
1/1/2008 12:00,6.129,5.9989,5.7594,5.7695,5.726,5.5952,5.657,5.636,5.4353,5.5408,5.3929,4.9302,7.6447,32.229,0
2/1/2008 12:00,6.0606,6.0438,5.9985,5.9913,5.7289,5.535,5.6967,5.65,5.5014,5.5759,5.4743,4.9974,5.1152,9.1486,2.59082704
3/1/2008 12:00,5.5906,5.5913,5.5449,5.5825,5.5843,5.4456,5.5837,5.5427,5.4713,5.5708,5.5545,5.2189,1.7224,120.4,3.53912344
1/1/2008 12:00,5.262,5.2684,5.2386,5.2687,5.2644,5.1288,5.2102,5.1933,5.1325,5.225,5.1574,5.0301,2.0485,73.642,1.68116208
1/1/2008 12:00,5.1971,5.1835,5.1111,5.1705,5.1689,5.0554,5.1702,5.1618,5.1051,5.2362,5.2267,4.9861,7.557,94.923,5.07002928
1/1/2008 12:00,5.2286,5.2331,5.1235,5.1855,5.1883,5.0856,5.1774,5.153,5.1037,5.2267,5.2169,4.9753,7.1928,182.84,3.3181372
1/1/2008 12:00,5.1363,5.1346,5.0579,5.1065,5.1146,5.0149,5.1164,5.0978,5.0556,5.1388,5.1377,4.9164,6.2154,78.707,4.32615544
1/1/2008 12:00,5.1108,5.0995,5.0145,5.0689,5.0676,4.984,5.0821,5.0769,5.0232,5.1195,5.1112,4.8769,6.2568,23.212,1.77627464
1/1/2008 12:00,5.0397,5.014,4.939,4.9867,4.993,4.9003,5.0162,5.0127,4.9294,5.0473,5.0466,4.8066,5.886,94.693,6.6301016
1/1/2008 12:00,5.0244,4.9994,4.8818,4.9294,4.9329,4.8571,4.938,4.9366,4.8303,4.9287,4.8991,4.6346,8.4087,49.855,4.48397336
1/1/2008 12:00,4.9547,4.9813,4.9356,4.9823,4.9741,4.9236,5.0018,5.0012,4.942,5.0025,4.9711,4.7799,3.0579,76.906,0.100467464
1/1/2008 12:00,4.8564,4.8735,4.779,4.8357,4.8447,4.778,4.8596,4.8457,4.792,4.8593,4.8742,4.7243,2.2166,71.923,0.074315368
1/1/2008 12:00,5.0189,5.0064,4.8638,4.9288,4.9121,4.8197,4.9096,4.9047,4.7816,4.8858,4.8491,4.6089,9.8068,19.304,3.75995536
1/1/2008 12:00,5.2513,5.2536,5.1491,5.205,5.2186,5.1441,5.1404,5.0804,4.9421,4.9986,4.9684,4.7209,7.1459,31.769,3.3916964
1/1/2008 12:00,5.8035,5.4792,5.3084,5.3475,5.3305,5.2596,5.309,5.2918,5.1658,5.2072,5.1532,4.8862,6.7516,40.831,0.474091616
1/1/2008 12:00,5.5898,5.5887,5.4476,5.4624,5.3624,5.2166,5.3004,5.2695,5.0764,5.1669,5.1429,4.8723,5.9812,107.97,1.39849928
1/1/2008 12:00,5.5442,5.5418,5.4192,5.4463,5.3947,5.1576,5.2738,5.2119,5.0844,5.177,5.1806,4.9436,6.3477,32.992,1.73501976
1/1/2008 12:00,5.4843,5.4656,5.3571,5.4509,5.4338,5.1782,5.3759,5.3592,5.1768,5.2583,5.207,4.9717,5.8908,13.974,0.259427352
1/1/2008 12:00,6.0363,5.9701,5.7986,5.9408,5.8926,5.4829,5.8315,5.7945,5.5377,5.6618,5.6368,5.2501,9.0976,193.12,2.55795688
1/1/2008 12:00,6.4072,6.2653,5.9288,6.0161,5.9708,5.3946,5.9058,5.8837,5.723,5.7923,5.6557,5.2906,8.3621,31.642,0
1/1/2008 12:00,6.1459,6.131,6.0145,6.0515,5.9936,5.4172,5.9506,5.9397,5.7833,5.8542,5.8486,5.3226,4.8607,12.844,0.73492328
1/1/2008 12:00,5.8477,5.8665,5.7895,5.8598,5.8758,5.3112,5.8492,5.8421,5.7234,5.7993,5.7963,5.5158,1.4356,46.187,0.154813824
1/1/2008 12:00,5.8637,5.8743,5.6848,5.8123,5.8268,5.0834,5.7902,5.8286,5.6251,5.7919,5.8111,5.5699,10.484,31.343,4.82836416
1/1/2008 12:00,6.0303,6.0552,5.938,6.0325,6.0398,5.4734,6.0281,6.0552,5.8487,6.0073,6.0117,5.8177,6.2829,159.26,8.6023112
