Date_GMT,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Air_Temperature,Pyranometer,Wind_Speed
depth,0.5m,1m,2m,3m,4m,5m,6m,7m,8m,9m,10m,12m,,,
,6.129,5.9989,5.7594,5.7695,5.726,5.5952,5.657,5.636,5.4353,5.5408,5.3929,4.9302,7.6447,32.229,0
,5.1108,5.0995,5.0145,5.0689,5.0676,4.984,5.0821,5.0769,5.0232,5.1195,5.1112,4.8769,6.2568,23.212,1.77627464
,5.8035,5.4792,5.3084,5.3475,5.3305,5.2596,5.309,5.2918,5.1658,5.2072,5.1532,4.8862,6.7516,40.831,0.474091616
,5.8477,5.8665,5.7895,5.8598,5.8758,5.3112,5.8492,5.8421,5.7234,5.7993,5.7963,5.5158,1.4356,46.187,0.154813824
,6.5901,6.6319,6.4698,6.5529,6.5752,6.1544,6.5851,6.6341,6.2217,6.5462,6.4911,6.1159,9.8781,12.629,5.609532
,5.4951,5.5633,5.2326,5.4412,5.4878,5.2766,5.5092,5.5406,5.294,5.4828,5.4785,5.3189,7.0957,52.456,5.951608
,5.4524,5.469,5.3754,5.3752,5.3556,5.2063,5.3314,5.3282,5.2227,5.3041,5.2967,5.1354,6.3294,311.12,0.020308512
,4.4773,4.4858,4.4947,4.4439,4.4212,4.3094,4.3787,4.3568,4.2941,4.3405,4.3799,4.2822,5.311,372.12,0
,5.4552,5.5028,5.368,5.3987,5.4681,5.2596,5.4601,5.4701,5.341,5.4659,5.4458,5.2621,8.1334,360.85,9.2293648
,5.8993,5.9052,5.8621,5.7304,5.7112,5.6814,5.7135,5.6983,5.6601,5.6291,5.5817,5.6688,5.6636,395.06,2.27138464
,6.1818,6.2072,6.1606,6.1595,6.1906,6.0848,6.1739,6.1651,6.1173,6.134,6.0957,5.9677,6.4902,107.18,4.21324464
,6.6078,6.5907,6.5282,6.4278,6.4155,6.3758,6.3929,6.368,6.3498,6.3213,6.2901,6.279,5.8759,421.6,1.49258304
,6.0609,6.064,6.0246,5.9543,5.9309,5.8858,5.9234,5.9149,5.8897,5.8723,5.8571,5.8048,5.7514,393.4,2.90527976
,6.7556,6.8246,6.7627,6.7239,6.7611,6.5957,6.6906,6.6729,6.5033,6.4704,6.4051,6.0981,9.8193,407.88,6.856952
,7.9196,7.8787,7.485,7.3736,7.3524,7.3122,7.3321,7.2553,6.9322,6.817,6.7794,6.7062,6.8343,626.33,1.47473336
,8.2986,8.3046,8.0134,7.9129,7.7716,7.5891,7.4463,7.1956,7.0793,7.0538,7.0377,6.9625,7.4528,621.67,2.10116968
,8.7751,8.7591,8.5253,8.1769,8.1234,8.0245,8.0093,7.9581,7.9127,7.8699,7.8394,7.8118,13.344,729.32,2.85383976
,12.093,11.322,10.732,10.344,9.9088,9.04,8.2148,8.0085,7.9551,7.8998,7.8527,7.858,12.399,707.53,2.26433736
,14.819,14.354,12.556,11.295,10.362,9.3798,8.6691,8.2463,8.0481,7.9535,7.8898,7.898,19.326,726.14,2.56227784
,18.834,18.776,15.386,12.097,10.914,9.8018,8.965,8.3258,8.0304,7.9461,7.8832,7.8635,16.992,826.64,3.31469072
,16.003,15.943,15.415,13.282,10.723,9.449,8.6793,8.1816,8.017,7.9492,7.8811,7.8792,12.188,761.13,1.9925284
,13.991,13.996,14.036,13.995,14.012,13.97,8.9539,8.2482,8.0808,8.0227,7.9702,7.938,12.95,40.696,4.954958
,17.133,16.986,15.81,14.08,13.633,12.347,9.5933,8.3731,8.109,8.0159,7.9646,7.9246,15.542,334.99,1.8238052
,19.917,19.9,19.336,15.133,13.854,12.25,9.4858,8.439,8.1641,8.0954,8.0289,7.9807,15.966,496.08,3.00996016
,17.274,17.283,17.292,16.208,14.075,12.482,9.7905,8.469,8.2145,8.1178,8.0425,8.0159,14.233,437.4,4.79451664
,15.329,14.997,14.385,13.948,13.807,13.547,12.502,10.151,8.4528,8.1903,8.0843,8.0834,16.07,393.47,1.66233504
,16.353,16.1,15.519,15.09,14.407,13.655,12.022,9.913,8.4043,8.236,8.1704,8.0991,20.27,761.98,3.53819752
,16.62,16.636,16.039,15.354,14.592,13.644,12.358,9.3962,8.5043,8.3208,8.24,8.1847,12.928,219.92,3.09041232
,16.447,16.454,15.522,15.058,14.558,13.381,12.039,10.17,8.7525,8.4194,8.2901,8.2272,17.397,213,2.93537216
,17.898,17.22,16.29,15.892,14.762,13.628,11.881,9.792,8.6989,8.4311,8.3401,8.2554,17.576,238.33,2.78480728
,22.329,21.821,17.86,16.009,14.858,13.434,11.642,9.8099,8.7885,8.5238,8.4335,8.3531,19.848,443.35,1.57514424
,18.856,18.278,17.321,16.497,15.141,13.847,12.225,10.351,8.9986,8.6714,8.5626,8.4535,16.331,311.96,0.278825376
,16.302,16.167,16.027,15.666,15.428,14.407,12.545,10.415,9.0198,8.733,8.6408,8.5777,14.863,284.96,1.04932456
,16.791,16.068,15.505,15.242,14.993,14.019,12.171,10.391,9.21,8.7311,8.6199,8.592,17.723,337.69,1.5023052
,16.002,16.017,15.894,15.724,15.096,13.614,12.075,10.291,9.0099,8.8341,8.7178,8.6529,15.83,27.85,2.87657624
,16.723,16.576,16.314,15.753,15.238,13.911,12.426,10.21,9.051,8.8382,8.7583,8.6811,14.388,280.55,1.9166544
,14.075,14.09,14.034,13.775,13.693,13.611,13.469,12.015,9.5831,8.9563,8.7914,8.7322,12.798,41.199,1.36938424
,14.453,14.471,14.297,13.92,13.673,13.529,13.295,11.629,9.5269,8.9036,8.7935,8.696,11.437,119.07,0.61455368
,14.182,14.187,14.126,14.026,13.91,13.609,13.443,11.053,9.4233,8.9415,8.7935,8.7389,14.093,570.69,3.1116056
,13.336,13.355,13.377,13.337,13.352,13.298,13.074,10.932,9.5607,9.0431,8.9292,8.7533,12.559,97.669,5.05099648
,11.828,11.829,11.727,11.379,11.327,11.243,11.207,11.132,10.865,9.9014,9.0917,8.7906,16.499,133.05,3.42688136
,11.841,11.813,11.818,11.762,11.751,11.606,11.507,11.336,10.835,9.959,9.2886,8.902,9.4477,93.33,0.264756536
,10.805,10.822,10.819,10.758,10.76,10.723,10.748,10.724,10.673,10.609,10.22,9.0386,9.4502,296.19,4.3464228
,9.9145,9.9367,9.9592,9.9253,9.933,9.9019,9.927,9.8852,9.8706,9.8266,9.7876,9.5968,4.9455,91.302,2.19381312
,8.0466,8.0569,8.0406,7.9877,8.0111,7.9838,8.018,7.9963,7.9856,7.9329,7.9041,7.9128,9.0443,81.812,1.17879904
,7.6348,7.6578,7.6799,7.6463,7.6647,7.6292,7.6761,7.6692,7.6644,7.6078,7.6017,7.5785,8.3097,76.838,7.2617848
,7.9902,8.0034,8.0098,7.9451,7.9672,7.9425,7.992,7.9711,7.9216,7.8473,7.772,7.6599,10.273,209.82,2.7103736
